equivalent v1.0.2 | Apache-2.0 OR MIT
gamesynth-core v0.1.0 | MIT OR Apache-2.0
gamesynth-godot v0.1.0 | MIT OR Apache-2.0
glam v0.32.1 | MIT OR Apache-2.0
godot v0.5.5 | MPL-2.0
godot-cell v0.5.5 | MPL-2.0
godot-core v0.5.5 | MPL-2.0
godot-ffi v0.5.5 | MPL-2.0
godot-macros v0.5.5 | MPL-2.0
hashbrown v0.17.1 | MIT OR Apache-2.0
indexmap v2.14.2 | Apache-2.0 OR MIT
itoa v1.0.18 | MIT OR Apache-2.0
litrs v1.0.0 | MIT OR Apache-2.0
markdown v1.0.0 | MIT
memchr v2.8.3 | Unlicense OR MIT
proc-macro2 v1.0.107 | MIT OR Apache-2.0
quote v1.0.47 | MIT OR Apache-2.0
rtrb v0.3.5 | MIT OR Apache-2.0
serde v1.0.229 | MIT OR Apache-2.0
serde_core v1.0.229 | MIT OR Apache-2.0
serde_derive v1.0.229 | MIT OR Apache-2.0
serde_json v1.0.151 | MIT OR Apache-2.0
serde_spanned v1.1.1 | MIT OR Apache-2.0
syn v3.0.5 | MIT OR Apache-2.0
toml v1.1.6+spec-1.1.0 | MIT OR Apache-2.0
toml_datetime v1.1.1+spec-1.1.0 | MIT OR Apache-2.0
toml_parser v1.1.3+spec-1.1.0 | MIT OR Apache-2.0
unicode-id v0.3.6 | MIT OR Apache-2.0
unicode-ident v1.0.24 | AND Unicode-3.0
venial v0.6.1 | MIT
winnow v1.0.4 | MIT
zmij v1.0.23 | MIT
